,variable,descriptions
1,IDNUMR,ID number for this household
2,STATE,State of residence
3,MSA_STAT,"Metropolitan Statistical Area (Only in states that meet the 500,000 threshold)"
4,TOTKIDS4,How many people less than 18 years old live in this household (top coded to 4)
5,AGEPOS4,Birth position of the S.C relative to other children in the household
6,AGEYR_CHILD,AGE IN YEARS
7,FLG_06_MNTH,is less than 6 months in age (when FLG_06_MNTH = 1)
8,FLG_18_MNTH,is less than 18 months in age (when FLG_18_MNTH = 1)
9,SEX,Derived -Sex of Selected Child
10,RELATION,Derived -Respondent's Relationship to Selected Child
11,PLANGUAGE,Derived -Primary Language in Household
12,K2Q01,"In general, how would you describe [S.C.]'s health? Would you say [his/her] health is excellent, very good, good, fair, or poor?"
13,K2Q01_D,"How would you describe the condition of [S.C.]'s teeth: excellent, very good, good, fair, or poor?"
14,K2Q02R,How tall is [S.C.] now? (STANDARDIZED TO INCHES)
15,HGHT_FLG,indicating sample child's height was bottom or top coded
16,K2Q03R,How much does [S.C.] weigh now? (STANDARDIZED TO POUNDS)
17,WGHT_FLG,indicating sample child's weight was bottom or top coded
18,BMICLASS,Derived. BMI for age classification for sample child
19,K2Q04R,What was [S.C.]'s birth weight -(STANDARDIZED TO OUNCES)
20,BWGHT_FLG,indicating sample child's birth weight was bottom or top coded
21,K2Q10,"Does [S.C.] currently need or use medicine prescribed by a doctor, other than vitamins?"
22,K2Q11,"Is [his/her] need for prescription medicine because of ANY medical, behavioral, or other health condition?"
23,K2Q12,Is this a condition that has lasted or is expected to last 12 months or longer?
24,K2Q13,"Does [S.C.] need or use more medical care, mental health, or educational services than is usual for most children of the same age?"
25,K2Q14,"Is [his/her] need for medical care, mental health or educational services because of ANY medical, behavioral, or other health condition?"
26,K2Q15,Is this a condition that has lasted or is expected to last 12 months or longer?
27,K2Q16,Is [S.C.] limited or prevented in any way in [his/her] ability to do the things most children of the same age can do?
28,K2Q17,"Is [his/her] limitation in abilities because of ANY medical, behavioral, or other health condition?"
29,K2Q18,Is this a condition that has lasted or is expected to last 12 months or longer?
30,K2Q19,"Does [S.C.] need or get special therapy, such as physical, occupational, or speech therapy?"
31,K2Q20,"Is [his/her] need for special therapy because of ANY medical, behavioral, or other health condition?"
32,K2Q21,Is this a condition that has lasted or is expected to last 12 months or longer?
33,K2Q22,"Does [S.C.] have any kind of emotional, developmental, or behavioral problem for which [he/she] needs treatment or counseling?"
34,K2Q23,"Has [his/her] emotional, developmental or behavioral problem lasted or is it expected to last 12 months or longer?"
35,CSHCN,Child with Special Health Care Need
36,K2Q30A,"Has a doctor, health care provider, teacher, or school official ever told you [S.C.] had a learning disability?"
37,K2Q30B,Does [S.C.] currently have a learning disability?
38,K2Q30C,"Would you describe [his/her] learning disability as mild, moderate, or severe?"
39,K2Q30D,"Because of [his/her] learning disability, does [S.C.] need or receive any special arrangements, adaptations, or accommodations in school (or day care)?"
40,K2Q31A,"Has a doctor or other health care provider ever told you that [S.C.] had Attention Deficit Disorder or Attention Deficit Hyperactive Disorder, that is, ADD or ADHD?"
41,K2Q32A,Has a doctor or other health care provider ever told you that [S.C.] had depression?
42,K2Q33A,Has a doctor or other health care provider ever told you that [S.C.] had anxiety problems?
43,K2Q34A,"Has a doctor or other health care provider ever told you that [S.C.] had behavioral or conduct problems, such as Oppositional Defiant Disorder or Conduct Disorder?"
44,K2Q35A,"Has a doctor or other health care provider ever told you that [S.C.] had Autism, Asperger's Disorder, Pervasive Developmental Disorder, or other Autism Spectrum Disorder?"
45,K2Q36A,Has a doctor or other health care provider ever told you that [S.C.] had any developmental delay that affects [his/her] ability to learn?
46,K2Q37A,"Has a doctor or other health care provider ever told you that [S.C.] had stuttering, stammering, or other speech problems?"
47,K2Q40A,Has a doctor or other health care provider ever told you that [S.C.] had Asthma?
48,K2Q41A,Has a doctor or other health care provider ever told you that [S.C.] had Diabetes?
49,K2Q38A,Has a doctor or other health care provider ever told you that [S.C.] had Tourette Syndrome?
50,K2Q42A,Has a doctor or other health care provider ever told you that [S.C.] had Epilepsy or seizure disorder?
51,K2Q43A,Has a doctor or other health care provider ever told you that [S.C.] had hearing problems?
52,K2Q44A,Has a doctor or other health care provider ever told you that [S.C.] had vision problems that cannot be corrected with glasses or contact lenses?
53,K2Q45A,"Has a doctor or other health care provider ever told you that [S.C.] had bone, joint, or muscle problems?"
54,K2Q46A,Has a doctor or other health care provider ever told you that [S.C.] had a brain injury or concussion?
55,K2Q31B,Does [S.C.] currently have ADD or ADHD?
56,K2Q31C,"Would you describe [his/her] ADD or ADHD as mild, moderate, or severe?"
57,K2Q31D,Is [S.C.] currently taking medication for ADD or ADHD? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 3 2007 NSCH Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label
58,K2Q32B,Does [S.C.] currently have depression?
59,K2Q32C,"Would you describe [his/her] depression as mild, moderate, or severe?"
60,K2Q33B,Does [S.C.] currently have anxiety problems?
61,K2Q33C,"Would you describe [his/her] anxiety problems as mild, moderate, or severe?"
62,K2Q34B,Does [S.C.] currently have behavioral or conduct problems?
63,K2Q34C,"Would you describe [his/her] behavioral or conduct problems as mild, moderate, or severe?"
64,K2Q35B,Does [S.C.] currently have Autism or ASD?
65,K2Q35C,"Would you describe [his/her] Autism or ASD as mild, moderate, or severe?"
66,K2Q36B,Does [S.C.] currently have developmental delay problems?
67,K2Q36C,"Would you describe [his/her] developmental delay problems as mild, moderate, or severe?"
68,K2Q37B,Does [S.C.] currently have speech problems?
69,K2Q37C,"Would you describe [his/her] speech problems as mild, moderate, or severe?"
70,K2Q40B,Does [S.C.] currently have Asthma?
71,K2Q40C,"Would you describe [his/her] Asthma as mild, moderate, or severe?"
72,K2Q41B,Does [S.C.] currently have Diabetes?
73,K2Q41C,"Would you describe [his/her] Diabetes as mild, moderate, or severe?"
74,K2Q38B,Does [S.C.] currently have Tourette Syndrome?
75,K2Q38C,"Would you describe [his/her] Tourette Syndrome as mild, moderate, or severe?"
76,K2Q42B,Does [S.C.] currently have Epilepsy or seizure disorder?
77,K2Q42C,"Would you describe [his/her] Epilepsy or seizure disorder as mild, moderate, or severe?"
78,K2Q43B,Does [S.C.] currently have hearing problems?
79,K2Q43C,"Would you describe [his/her] hearing problems as mild, moderate, or severe?"
80,K2Q44B,Does [S.C.] currently have vision problems?
81,K2Q44C,"Would you describe [his/her] vision problems as mild, moderate, or severe?"
82,K2Q45B,"Does [S.C.] currently have bone, joint, or muscle problems?"
83,K2Q45C,"Would you describe [his/her] bone, joint, or muscle problems as mild, moderate, or severe?"
84,K2Q45DX01,"Are [S.C.]'s current problems related to [his/her] bones, joints, or muscles -Bones."
85,K2Q45DX02,"Are [S.C.]'s current problems related to [his/her] bones, joints, or muscles -Joints."
86,K2Q45DX03,"Are [S.C.]'s current problems related to [his/her] bones, joints, or muscles -Muscles."
87,K2Q46B,Does [S.C.] currently have a brain injury?
88,K2Q46C,"Would you describe [his/her] brain injury as mild, moderate, or severe?"
89,K2Q47A,"During the past 12 months, have you been told by a doctor or other health care provider that [S.C.] had hay fever or any kind of respiratory allergy?"
90,K2Q48A,"During the past 12 months, have you been told by a doctor or other health care provider that [S.C.] had any kind of food or digestive allergy?"
91,K2Q49A,"During the past 12 months, have you been told by a doctor or other health care provider that [S.C.] had Eczema or any kind of skin allergy?"
92,K2Q50A,"During the past 12 months, have you been told by a doctor or other health care provider that [S.C.] had migraine headaches?"
93,K2Q51A,"During the past 12 months, have you been told by a doctor or other health care provider that [S.C.] had three or more ear infections?"
94,K2Q47C,"Would you describe [his/her] respiratory allergy as mild, moderate, or severe?"
95,K2Q48C,"Would you describe [his/her] food or digestive allergy as mild, moderate, or severe?"
96,K2Q49C,"Would you describe [his/her] Eczema or skin allergy as mild, moderate, or severe?"
97,K2Q50C,"Would you describe [his/her] headaches as mild, moderate, or severe?"
98,K2Q51C,"Would you describe [his/her] ear infections as mild, moderate, or severe?"
99,K2Q52,"To the best of your knowledge, did [S.C.] have a toothache within the past 6 months?"
100,K2Q53,"To the best of your knowledge, did [S.C.] have decayed teeth or cavities within the past 6 months?"
101,K2Q54,"To the best of your knowledge, did [S.C.] have broken teeth within the past 6 months?"
102,K2Q55,"To the best of your knowledge, did [S.C.] have bleeding gums within the past 6 months?"
103,K2Q60A,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to participate in play with other children?"
104,K2Q60B,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to go on outings, such as to the park, library, zoo, shopping, church, restaurants, or family gatherings?"
105,K2Q60C,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to make friends?"
